Country,ABV,Continente,HomMed,Renda_per_Capta
Albania,ALB,Europa,2.3692,12500
Andorra,AND,Europa,0.004666666666666667,49900
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,26400
Argentina,ARG,America_do_Sul,2.485957142857143,20900
Armenia,ARM,Asia,0.29600000000000004,9500
Australia,AUS,Oceania,0.1637,50400
Austria,AUT,Europa,0.1401375,50000
Azerbaijan,AZE,Asia,0.275,17500
Bahamas,BHS,America_do_Norte,29.101166666666668,32400
Bahrain,BHR,Asia,0.061200000000000004,49000
Barbados,BRB,America_do_Norte,1.2622,18600
Belarus,BLR,Europa,0.123305,18900
Belgium,BEL,Europa,0.2617714285714286,46600
Belize,BLZ,America_do_Norte,20.573014285714287,8300
Bermuda,BMU,America_do_Norte,4.113833333333333,99400
Bolivia,BOL,America_do_Sul,0.748,7600
Bosnia-And-Herzegovina,BIH,Europa,0.49688,12800
Brazil,BRA,America_do_Sul,19.717585714285715,15600
Brunei,BRN,Asia,0,78900
Bulgaria,BGR,Europa,0.3552,21800
Canada,CAN,America_do_Norte,0.5107111111111111,48400
Chile,CHL,America_do_Sul,1.6417714285714287,24600
Colombia,COL,America_do_Sul,26.9846,14400
Congo-Drc,COD,Africa,1.3555000000000001,800
Costa-Rica,CRI,America_do_Norte,6.083616666666667,16900
Croatia,HRV,Europa,0.36265000000000003,24700
Cuba,CUB,America_do_Norte,0.2187714285714286,12300
Cyprus,CYP,Asia,0.466375,37200
Czech-Republic,CZE,Europa,0.1352625,35500
Denmark,DNK,Europa,0.14444285714285715,50100
Dominica,DMA,America_do_Norte,3.3232857142857144,11000
Dominican-Republic,DOM,America_do_Norte,8.24834,17000
Ecuador,ECU,America_do_Sul,6.795957142857143,11500
Egypt,EGY,Africa,0.11957142857142856,12700
El-Salvador,SLV,America_do_Norte,39.16866666666667,8000
Estonia,EST,Europa,0.34851666666666664,31700
Fiji,FJI,Oceania,0,9800
Finland,FIN,Europa,0.28034285714285717,44500
France,FRA,Europa,0.1936,44100
Georgia,GEO,Asia,5.197555555555556,10700
Germany,DEU,Europa,0.06882857142857143,50800
Greece,GRC,Europa,0.46208571428571427,27800
Grenada,GRD,America_do_Norte,0.2636671428571429,15100
Guam,GUM,Oceania,2.036,35600
Guatemala,GTM,America_do_Norte,25.575985714285714,8200
Guyana,GUY,America_do_Sul,4.6583,8100
Honduras,HND,America_do_Norte,53.2672,5600
Hong-Kong,HKG,Asia,0.00824,61500
Hungary,HUN,Europa,0.0776375,29600
Iceland,ISL,Europa,0.039177125,52200
India,IND,Asia,0.25409000000000004,7200
Iran,IRN,Asia,0.48200000000000004,20100
Ireland,IRL,Europa,0.3053666666666667,73200
Israel,ISR,Asia,0.8773857142857143,36400
Italy,ITA,Europa,0.3159142857142857,38200
Jamaica,JAM,America_do_Norte,25.892116666666666,9200
Japan,JPN,Asia,0.004285714285714286,42900
Jordan,JOR,Asia,1.21725,9200
Kazakhstan,KAZ,Asia,0.4828142857142857,26300
Kuwait,KWT,Asia,0.24783333333333332,65800
Kyrgyzstan,KGZ,Asia,0.3412857142857143,3700
Latvia,LVA,Europa,0.2730571428571429,27700
Liberia,LBR,Africa,0.445,1300
Liechtenstein,LIE,Europa,0.0026666666666666666,139100
Lithuania,LTU,Europa,0.2451875,32400
Luxembourg,LUX,Europa,0.08344285714285715,105100
Macedonia,MKD,Europa,0.73232,14900
Malaysia,MYS,Asia,0.04123333333333334,29100
Maldives,MDV,Asia,0,19200
Malta,MLT,Europa,0.3361657142857143,41900
Mauritius,MUS,Africa,0.098,22300
Mexico,MEX,America_do_Norte,11.3781,19900
Moldova,MDA,Europa,0.29512499999999997,6700
Mongolia,MNG,Asia,0.251525,13000
Montenegro,MNE,Europa,1.910670425,17800
Montserrat,MSR,America_do_Norte,36.42857142857143,34000
Morocco,MAR,Africa,0.029333333333333333,8600
Namibia,NAM,Africa,2.48375,11200
Netherlands,NLD,Europa,0.22265,53900
New-Zealand,NZL,Oceania,0.16821428571428573,39000
Nicaragua,NIC,America_do_Norte,3.345957142857143,5900
Norway,NOR,Europa,0.28314285714285714,72100
Oman,OMN,Asia,0,46000
Palestine,PSE,Asia,2.03075,4300
Panama,PAN,America_do_Norte,15.201657142857142,25400
Paraguay,PRY,America_do_Sul,5.18525,12800
Peru,PER,America_do_Sul,0.4888142857142857,13500
Philippines,PHL,Asia,7.470433333333333,8400
Poland,POL,Europa,0.041671428571428575,29600
Portugal,PRT,Europa,0.2853,30500
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,39400
Qatar,QAT,Asia,0.0752,124100
Romania,ROU,Europa,0.0351375,24600
Russia,RUS,Asia,0.9014,27900
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,3200
Saudi-Arabia,SAU,Asia,0.035,54500
Serbia,SRB,Europa,0.7431428571428571,15100
Singapore,SGP,Asia,7.142857142857143e-4,94100
Slovakia,SVK,Europa,0.18293333333333334,33100
Slovenia,SVN,Europa,0.25871428571428573,34500
South-Africa,ZAF,Africa,11.9525,13600
South-Korea,KOR,Asia,0.020142857142857143,39500
South-Sudan,SSD,Africa,1.993,1600
Spain,ESP,Europa,0.1273,38400
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,28200
St-Lucia,LCA,America_do_Norte,12.572,14400
Suriname,SUR,America_do_Sul,1.3685666666666667,14900
Sweden,SWE,Europa,0.2340125,51200
Switzerland,CHE,Europa,0.18586666666666668,62100
Syria,SYR,Asia,0.616,2900
Tajikistan,TJK,Asia,0.21270666666666666,3200
Thailand,THA,Asia,2.587625,17900
Tonga,TON,Oceania,0.001,5900
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,31300
Tunisia,TUN,Africa,0.0345,11900
Turkey,TUR,Europa,0.777,27000
Turks-And-Caicos,TCA,America_do_Norte,3.117,29100
Uganda,UGA,Africa,1.54006,2400
Ukraine,UKR,Europa,0.22356,8800
United-Kingdom,GBR,Europa,0.03181428571428571,44300
United-States,USA,America_do_Norte,3.8391555555555557,59800
Uruguay,URY,America_do_Sul,3.5788285714285712,22400
Uzbekistan,UZB,Asia,0.046,6900
Venezuela,VEN,America_do_Sul,28.57428,12500
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,34200
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,37000
Zambia,ZMB,Africa,0.305,4000
