Country,ABV,Continente,HomMed,Imposto_perc_PIB
Albania,ALB,Europa,2.3692,27.6
Andorra,AND,Europa,0.004666666666666667,69
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,19.6
Argentina,ARG,America_do_Sul,2.485957142857143,18.9
Armenia,ARM,Asia,0.29600000000000004,22.9
Australia,AUS,Oceania,0.1637,35.5
Austria,AUT,Europa,0.1401375,48.3
Azerbaijan,AZE,Asia,0.275,23.5
Bahamas,BHS,America_do_Norte,29.101166666666668,17.6
Bahrain,BHR,Asia,0.061200000000000004,16.6
Barbados,BRB,America_do_Norte,1.2622,29.4
Belarus,BLR,Europa,0.123305,40.7
Belgium,BEL,Europa,0.2617714285714286,51.3
Belize,BLZ,America_do_Norte,20.573014285714287,29.9
Bermuda,BMU,America_do_Norte,4.113833333333333,16.3
Bolivia,BOL,America_do_Sul,0.748,39.9
Bosnia-And-Herzegovina,BIH,Europa,0.49688,44
Brazil,BRA,America_do_Sul,19.717585714285715,35.7
Brunei,BRN,Asia,0,18.5
Bulgaria,BGR,Europa,0.3552,35.7
Canada,CAN,America_do_Norte,0.5107111111111111,39.3
Chile,CHL,America_do_Sul,1.6417714285714287,20.8
Colombia,COL,America_do_Sul,26.9846,26.5
Congo-Drc,COD,Africa,1.3555000000000001,11.2
Costa-Rica,CRI,America_do_Norte,6.083616666666667,14.3
Croatia,HRV,Europa,0.36265000000000003,46.1
Cuba,CUB,America_do_Norte,0.2187714285714286,58.1
Cyprus,CYP,Asia,0.466375,39.9
Czech-Republic,CZE,Europa,0.1352625,40.5
Denmark,DNK,Europa,0.14444285714285715,53
Dominica,DMA,America_do_Norte,3.3232857142857144,40.9
Dominican-Republic,DOM,America_do_Norte,8.24834,14.9
Ecuador,ECU,America_do_Sul,6.795957142857143,32
Egypt,EGY,Africa,0.11957142857142856,17.9
El-Salvador,SLV,America_do_Norte,39.16866666666667,23.7
Estonia,EST,Europa,0.34851666666666664,39.9
Fiji,FJI,Oceania,0,29.7
Finland,FIN,Europa,0.28034285714285717,53.1
France,FRA,Europa,0.1936,53.8
Georgia,GEO,Asia,5.197555555555556,28.7
Germany,DEU,Europa,0.06882857142857143,45
Greece,GRC,Europa,0.46208571428571427,48.8
Grenada,GRD,America_do_Norte,0.2636671428571429,25.8
Guam,GUM,Oceania,2.036,21.4
Guatemala,GTM,America_do_Norte,25.575985714285714,10.8
Guyana,GUY,America_do_Sul,4.6583,28.1
Honduras,HND,America_do_Norte,53.2672,20.3
Hong-Kong,HKG,Asia,0.00824,23.2
Hungary,HUN,Europa,0.0776375,44.5
Iceland,ISL,Europa,0.039177125,42.4
India,IND,Asia,0.25409000000000004,9.2
Iran,IRN,Asia,0.48200000000000004,17.3
Ireland,IRL,Europa,0.3053666666666667,26
Israel,ISR,Asia,0.8773857142857143,26.5
Italy,ITA,Europa,0.3159142857142857,46.6
Jamaica,JAM,America_do_Norte,25.892116666666666,29.7
Japan,JPN,Asia,0.004285714285714286,35.2
Jordan,JOR,Asia,1.21725,23.6
Kazakhstan,KAZ,Asia,0.4828142857142857,22.3
Kuwait,KWT,Asia,0.24783333333333332,41.8
Kyrgyzstan,KGZ,Asia,0.3412857142857143,28.7
Latvia,LVA,Europa,0.2730571428571429,37.5
Liberia,LBR,Africa,0.445,16.9
Liechtenstein,LIE,Europa,0.0026666666666666666,14.9
Lithuania,LTU,Europa,0.2451875,33.7
Luxembourg,LUX,Europa,0.08344285714285715,44.4
Macedonia,MKD,Europa,0.73232,29
Malaysia,MYS,Asia,0.04123333333333334,16.4
Maldives,MDV,Asia,0,26.4
Malta,MLT,Europa,0.3361657142857143,40.4
Mauritius,MUS,Africa,0.098,22.5
Mexico,MEX,America_do_Norte,11.3781,22.7
Moldova,MDA,Europa,0.29512499999999997,30.2
Mongolia,MNG,Asia,0.251525,26.6
Montenegro,MNE,Europa,1.910670425,37.2
Morocco,MAR,Africa,0.029333333333333333,20.9
Namibia,NAM,Africa,2.48375,32.2
Netherlands,NLD,Europa,0.22265,43.4
New-Zealand,NZL,Oceania,0.16821428571428573,36.8
Nicaragua,NIC,America_do_Norte,3.345957142857143,28
Norway,NOR,Europa,0.28314285714285714,54.4
Oman,OMN,Asia,0,31.3
Palestine,PSE,Asia,2.03075,13.4
Panama,PAN,America_do_Norte,15.201657142857142,20.1
Paraguay,PRY,America_do_Sul,5.18525,14.2
Peru,PER,America_do_Sul,0.4888142857142857,27.1
Philippines,PHL,Asia,7.470433333333333,15.6
Poland,POL,Europa,0.041671428571428575,39.5
Portugal,PRT,Europa,0.2853,42.9
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,8.9
Qatar,QAT,Asia,0.0752,26.4
Romania,ROU,Europa,0.0351375,29.3
Russia,RUS,Asia,0.9014,16.4
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,26.2
Saudi-Arabia,SAU,Asia,0.035,26.4
Serbia,SRB,Europa,0.7431428571428571,42.7
Singapore,SGP,Asia,7.142857142857143e-4,15.7
Slovakia,SVK,Europa,0.18293333333333334,39.4
Slovenia,SVN,Europa,0.25871428571428573,43.1
South-Africa,ZAF,Africa,11.9525,26.6
South-Korea,KOR,Asia,0.020142857142857143,23.2
South-Sudan,SSD,Africa,1.993,8.5
Spain,ESP,Europa,0.1273,37.9
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,31.9
St-Lucia,LCA,America_do_Norte,12.572,23.6
Suriname,SUR,America_do_Sul,1.3685666666666667,16.4
Sweden,SWE,Europa,0.2340125,50.6
Switzerland,CHE,Europa,0.18586666666666668,35.7
Syria,SYR,Asia,0.616,4.2
Tajikistan,TJK,Asia,0.21270666666666666,31.8
Thailand,THA,Asia,2.587625,15.2
Tonga,TON,Oceania,0.001,39.8
Trinidad-And-Tobago,TTO,America_do_Norte,24.7297,24.5
Tunisia,TUN,Africa,0.0345,24.7
Turkey,TUR,Europa,0.777,20.3
Uganda,UGA,Africa,1.54006,14.5
Ukraine,UKR,Europa,0.22356,26.6
United-Kingdom,GBR,Europa,0.03181428571428571,39.1
United-States,USA,America_do_Norte,3.8391555555555557,17
Uruguay,URY,America_do_Sul,3.5788285714285712,29.8
Uzbekistan,UZB,Asia,0.046,31.2
Venezuela,VEN,America_do_Sul,28.57428,44.2
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,38.9
Virgin-Islands-Us,VIR,America_do_Norte,32.51217142857143,28.9
Zambia,ZMB,Africa,0.305,17.4
